codigo_reserva,nif_cliente,balcao,hora
123,543700355,LIS,2024-10-22 18:00:00
124,618045811,LIS,2024-12-09 18:00:00
125,695831533,LIS,2024-10-31 18:00:00
126,429266242,LIS,2024-10-19 18:00:00
127,857519068,LIS,2024-11-11 18:00:00
128,807899575,LIS,2024-12-16 18:00:00
129,579527597,LIS,2024-10-03 18:00:00
130,207673349,LIS,2024-12-04 18:00:00
131,944048177,LIS,2024-11-18 18:00:00
132,759304715,LIS,2024-10-03 18:00:00
133,155891270,LIS,2024-12-11 18:00:00
134,782767320,LIS,2024-12-31 18:00:00
135,983963824,LIS,2024-12-13 18:00:00
136,744508634,LIS,2024-11-06 18:00:00
137,382492880,LIS,2024-12-03 18:00:00
138,753939761,LIS,2024-12-27 18:00:00
139,530189140,LIS,2024-10-14 18:00:00
140,407593997,LIS,2024-10-16 18:00:00
141,930655747,LIS,2024-12-09 18:00:00
142,571342650,LIS,2024-12-30 18:00:00
143,805324063,LIS,2024-10-26 18:00:00
144,136087763,LIS,2024-10-16 18:00:00
145,849954690,LIS,2024-12-02 18:00:00
146,823728171,LIS,2024-12-27 18:00:00
147,803321425,LIS,2024-12-31 18:00:00
148,193246752,LIS,2024-11-26 18:00:00
149,479167941,LIS,2024-10-07 18:00:00
150,729298787,LIS,2024-12-06 18:00:00
151,552604373,LHR,2024-10-30 07:00:00
152,777157408,LHR,2024-10-27 07:00:00
153,439009547,LHR,2024-10-31 07:00:00
154,703591560,LHR,2024-10-21 07:00:00
155,206273380,LHR,2024-10-05 07:00:00
156,331356272,LHR,2024-11-30 07:00:00
157,776309403,LHR,2024-12-20 07:00:00
158,459334721,LHR,2024-11-29 07:00:00
159,701671267,LHR,2024-10-22 07:00:00
160,376719186,LHR,2024-11-18 07:00:00
161,230177767,LHR,2024-11-18 07:00:00
162,750232313,LHR,2024-12-07 07:00:00
163,797787747,LHR,2024-10-10 07:00:00
164,937850514,LHR,2024-11-26 07:00:00
165,822835305,LHR,2024-10-28 07:00:00
166,890838947,LHR,2024-11-05 07:00:00
167,509171868,LHR,2024-10-15 07:00:00
168,778295798,LHR,2024-12-14 07:00:00
169,787818236,LHR,2024-11-19 07:00:00
170,757463001,LHR,2024-10-20 07:00:00
171,176605123,LHR,2024-12-22 07:00:00
172,345047145,LHR,2024-11-22 07:00:00
173,412841502,LHR,2024-11-28 07:00:00
174,524616925,LHR,2024-11-28 07:00:00
175,938564480,LHR,2024-11-16 07:00:00
176,659350437,LHR,2024-11-05 07:00:00
177,297446299,LHR,2024-12-30 07:00:00
178,351929030,LHR,2024-10-09 07:00:00
179,898730065,LHR,2024-10-04 07:00:00
180,326099417,LHR,2024-12-11 07:00:00
181,122927426,CDG,2024-10-05 07:00:00
182,877817678,CDG,2024-12-15 07:00:00
183,142400500,CDG,2024-10-31 07:00:00
184,700248296,CDG,2024-11-25 07:00:00
185,626232278,CDG,2024-12-08 07:00:00
186,683708118,CDG,2024-11-18 07:00:00
187,602935000,CDG,2024-11-27 07:00:00
188,742827694,CDG,2024-10-23 07:00:00
189,670304472,CDG,2024-12-13 07:00:00
190,979843968,CDG,2024-11-29 07:00:00
191,587563596,CDG,2025-01-01 07:00:00
192,643267978,CDG,2024-11-14 07:00:00
193,120100290,CDG,2024-10-14 07:00:00
194,933241446,CDG,2024-10-14 07:00:00
195,874171682,CDG,2024-12-24 07:00:00
196,678700154,CDG,2024-11-13 07:00:00
197,833606377,CDG,2024-10-30 07:00:00
198,265497448,CDG,2024-10-15 07:00:00
199,540024260,CDG,2024-10-11 07:00:00
200,203354415,CDG,2024-10-27 07:00:00
201,147005473,CDG,2024-12-16 07:00:00
202,133579936,CDG,2024-12-07 07:00:00
203,305746804,CDG,2024-12-20 07:00:00
204,789075603,CDG,2024-11-13 07:00:00
205,664596387,CDG,2024-10-14 07:00:00
206,374811907,CDG,2024-12-26 07:00:00
207,750637748,CDG,2024-12-23 07:00:00
208,324130818,CDG,2024-10-10 07:00:00
209,993436624,CDG,2024-12-22 07:00:00
210,786031600,CDG,2024-12-25 07:00:00
211,360971128,ORY,2024-10-14 15:00:00
212,993830749,ORY,2024-11-26 15:00:00
213,844956951,ORY,2024-12-18 15:00:00
214,605936741,ORY,2024-12-30 15:00:00
215,894582888,ORY,2024-10-25 15:00:00
216,686718533,ORY,2024-10-27 15:00:00
217,689269569,ORY,2024-11-01 15:00:00
218,251770634,ORY,2024-10-05 15:00:00
219,119744516,ORY,2024-11-14 15:00:00
220,812458132,ORY,2024-10-26 15:00:00
221,282879331,ORY,2024-12-25 15:00:00
222,947384695,ORY,2024-10-04 15:00:00
223,156999852,ORY,2024-11-03 15:00:00
224,108948759,ORY,2024-12-24 15:00:00
225,391317298,ORY,2024-10-09 15:00:00
226,808777380,ORY,2024-11-16 15:00:00
227,120485196,ORY,2024-11-25 15:00:00
228,797299908,ORY,2024-11-13 15:00:00
229,508774805,ORY,2024-10-28 15:00:00
230,206948671,ORY,2024-11-22 15:00:00
231,741138124,ORY,2024-10-25 15:00:00
232,313540619,ORY,2024-10-29 15:00:00
233,702033662,ORY,2024-12-30 15:00:00
234,668455421,ORY,2024-11-23 15:00:00
235,522409833,ORY,2024-12-12 15:00:00
236,834773724,ORY,2024-11-17 15:00:00
237,424620301,ORY,2024-12-02 15:00:00
238,638214657,ORY,2024-11-27 15:00:00
239,771939435,ORY,2024-11-30 15:00:00
240,974947794,ORY,2024-12-29 15:00:00
241,780830076,OPO,2024-11-16 17:00:00
242,859435175,OPO,2024-11-13 17:00:00
243,649397669,OPO,2024-10-15 17:00:00
244,506603082,OPO,2024-10-23 17:00:00
245,924913247,OPO,2024-12-11 17:00:00
246,707191953,OPO,2024-10-09 17:00:00
247,274079423,OPO,2024-12-14 17:00:00
248,864555170,OPO,2024-12-26 17:00:00
249,432342748,OPO,2024-11-05 17:00:00
250,294020880,OPO,2024-12-17 17:00:00
251,317810361,OPO,2025-01-01 17:00:00
252,371775842,OPO,2024-12-31 17:00:00
253,635413025,OPO,2024-10-24 17:00:00
254,752817769,OPO,2024-10-30 17:00:00
255,732286107,OPO,2024-10-09 17:00:00
256,540396677,OPO,2024-11-06 17:00:00
257,744354734,OPO,2025-01-01 17:00:00
258,687703577,OPO,2024-11-27 17:00:00
259,698663298,OPO,2024-12-06 17:00:00
260,259188853,OPO,2024-12-25 17:00:00
261,139428930,OPO,2024-12-14 17:00:00
262,816182084,OPO,2024-10-20 17:00:00
263,420449171,OPO,2024-11-20 17:00:00
264,152647028,OPO,2024-12-19 17:00:00
265,291392758,OPO,2024-12-12 17:00:00
266,756152630,OPO,2024-10-09 17:00:00
267,738843080,OPO,2024-10-20 17:00:00
268,290502484,OPO,2024-11-04 17:00:00
269,486749612,OPO,2024-12-28 17:00:00
270,421365006,OPO,2024-11-21 17:00:00
271,926224353,BCN,2024-12-20 07:00:00
272,654208214,BCN,2024-10-07 07:00:00
273,320317979,BCN,2024-12-28 07:00:00
274,866305263,BCN,2024-10-27 07:00:00
275,433913647,BCN,2024-12-27 07:00:00
276,738111425,BCN,2024-12-21 07:00:00
277,149542207,BCN,2024-12-19 07:00:00
278,807578984,BCN,2024-11-23 07:00:00
279,914426538,BCN,2024-11-23 07:00:00
280,325320091,BCN,2024-11-21 07:00:00
281,407699378,BCN,2024-11-27 07:00:00
282,929773829,BCN,2024-11-06 07:00:00
283,392760228,BCN,2024-12-13 07:00:00
284,222900917,BCN,2024-12-31 07:00:00
285,700893588,BCN,2024-10-28 07:00:00
286,682535775,BCN,2024-11-18 07:00:00
287,391039983,BCN,2024-12-14 07:00:00
288,963291475,BCN,2024-11-26 07:00:00
289,283905107,BCN,2024-12-23 07:00:00
290,463718119,BCN,2024-10-24 07:00:00
291,239665900,BCN,2024-12-29 07:00:00
292,825308245,BCN,2024-12-26 07:00:00
293,157767179,BCN,2024-12-21 07:00:00
294,292181526,BCN,2024-10-17 07:00:00
295,775889004,BCN,2024-10-05 07:00:00
296,761763552,BCN,2024-11-17 07:00:00
297,977721640,BCN,2024-12-07 07:00:00
298,820341458,BCN,2024-10-25 07:00:00
299,911472797,BCN,2024-11-03 07:00:00
300,199767978,BCN,2024-10-04 07:00:00
301,342387465,LIS,2024-12-10 15:00:00
302,107977894,LIS,2024-10-21 15:00:00
303,884812266,LIS,2024-12-03 15:00:00
304,389105464,LIS,2024-11-11 15:00:00
305,718853630,LIS,2024-11-17 15:00:00
306,140657269,LIS,2024-10-22 15:00:00
307,495758262,LIS,2024-12-19 15:00:00
308,841415799,LIS,2024-12-23 15:00:00
309,885220076,LIS,2024-10-27 15:00:00
310,905931508,LIS,2024-11-28 15:00:00
311,184003766,LIS,2024-10-28 15:00:00
312,194968544,LIS,2024-12-02 15:00:00
313,896379397,LIS,2024-10-10 15:00:00
314,183839817,LIS,2024-10-07 15:00:00
315,956951458,LIS,2024-10-20 15:00:00
316,156665940,LIS,2024-11-20 15:00:00
317,111578585,LIS,2024-11-03 15:00:00
318,603834447,LIS,2024-10-21 15:00:00
319,552062605,LIS,2024-11-18 15:00:00
320,957085656,LIS,2024-11-26 15:00:00
321,137931259,LIS,2024-10-06 15:00:00
322,904689266,LIS,2024-11-25 15:00:00
323,705275005,LIS,2024-11-30 15:00:00
324,608052255,LIS,2024-10-20 15:00:00
325,155426425,LIS,2024-10-10 15:00:00
326,968545231,LIS,2024-10-15 15:00:00
327,620507291,LIS,2024-12-23 15:00:00
328,182530219,LIS,2024-11-28 15:00:00
329,761207811,LIS,2024-11-28 15:00:00
330,375904108,LIS,2025-01-01 15:00:00
331,307331729,BCN,2024-12-30 06:00:00
332,736670305,BCN,2024-12-03 06:00:00
333,167637817,BCN,2024-10-25 06:00:00
334,636531772,BCN,2024-10-26 06:00:00
335,971640080,BCN,2024-11-06 06:00:00
336,117629000,BCN,2024-12-29 06:00:00
337,462622584,BCN,2024-12-28 06:00:00
338,327287704,BCN,2024-10-11 06:00:00
339,592171427,BCN,2024-10-08 06:00:00
340,676128415,BCN,2024-12-14 06:00:00
341,350166446,BCN,2024-12-24 06:00:00
342,252031615,BCN,2024-11-01 06:00:00
343,605968226,BCN,2024-10-15 06:00:00
344,853011714,BCN,2024-10-11 06:00:00
345,284950962,BCN,2024-10-14 06:00:00
346,430000948,BCN,2024-12-21 06:00:00
347,283276335,BCN,2024-10-19 06:00:00
348,977752159,BCN,2024-12-20 06:00:00
349,738852124,BCN,2024-10-16 06:00:00
350,963775406,BCN,2024-12-08 06:00:00
351,971364069,BCN,2024-10-08 06:00:00
352,229710628,BCN,2024-10-07 06:00:00
353,247456327,BCN,2024-11-22 06:00:00
354,951586433,BCN,2024-12-06 06:00:00
355,736820440,BCN,2024-12-11 06:00:00
356,229649486,BCN,2024-11-28 06:00:00
357,545768567,BCN,2024-12-12 06:00:00
358,694217027,BCN,2024-12-12 06:00:00
359,724902501,BCN,2024-12-28 06:00:00
360,949385932,BCN,2024-10-14 06:00:00
361,511194794,MAD,2024-11-17 18:00:00
362,143888484,MAD,2024-11-17 18:00:00
363,795970088,MAD,2024-10-23 18:00:00
364,702109541,MAD,2024-12-07 18:00:00
365,459628007,MAD,2024-12-03 18:00:00
366,796899673,MAD,2024-11-02 18:00:00
367,907751428,MAD,2024-10-20 18:00:00
368,854672588,MAD,2024-12-07 18:00:00
369,916995018,MAD,2024-12-05 18:00:00
370,387073305,MAD,2024-10-30 18:00:00
371,397582542,MAD,2024-12-27 18:00:00
372,470684221,MAD,2024-11-06 18:00:00
373,665521130,MAD,2024-12-18 18:00:00
374,671128082,MAD,2024-10-08 18:00:00
375,413816461,MAD,2024-11-06 18:00:00
376,958890239,MAD,2024-10-08 18:00:00
377,968437953,MAD,2024-12-25 18:00:00
378,591638597,MAD,2024-12-22 18:00:00
379,291997732,MAD,2024-11-27 18:00:00
380,182621546,MAD,2024-12-20 18:00:00
381,220285474,MAD,2024-10-05 18:00:00
382,261596070,MAD,2024-12-07 18:00:00
383,773532691,MAD,2024-12-31 18:00:00
384,832725044,MAD,2024-10-25 18:00:00
385,608851530,MAD,2024-11-19 18:00:00
386,892109271,MAD,2024-10-12 18:00:00
387,303002339,MAD,2024-12-25 18:00:00
388,961129245,MAD,2024-12-04 18:00:00
389,657938247,MAD,2024-10-12 18:00:00
390,721379342,MAD,2024-11-20 18:00:00
391,341076755,MAD,2024-12-30 19:00:00
392,265381977,MAD,2024-11-30 19:00:00
393,787790914,MAD,2024-10-13 19:00:00
394,802026333,MAD,2024-10-09 19:00:00
395,547918677,MAD,2024-12-11 19:00:00
396,838565998,MAD,2024-10-12 19:00:00
397,228156091,MAD,2024-11-28 19:00:00
398,171645238,MAD,2024-10-18 19:00:00
399,723914616,MAD,2024-11-02 19:00:00
400,376930400,MAD,2024-10-14 19:00:00
401,845439994,MAD,2024-12-18 19:00:00
402,887006874,MAD,2024-10-21 19:00:00
403,378675934,MAD,2024-12-13 19:00:00
404,256913540,MAD,2024-11-23 19:00:00
405,844407003,MAD,2024-12-16 19:00:00
406,156788412,MAD,2024-11-29 19:00:00
407,783165158,MAD,2024-11-18 19:00:00
408,413171942,MAD,2024-10-27 19:00:00
409,182492018,MAD,2024-10-29 19:00:00
410,774342024,MAD,2024-12-10 19:00:00
411,742916320,MAD,2024-12-12 19:00:00
412,439528365,MAD,2024-10-07 19:00:00
413,391476850,MAD,2024-10-07 19:00:00
414,489255767,MAD,2024-12-21 19:00:00
415,477559154,MAD,2024-12-15 19:00:00
416,656381604,MAD,2024-11-27 19:00:00
417,620656360,MAD,2024-11-11 19:00:00
418,275051213,MAD,2024-12-20 19:00:00
419,640503265,MAD,2024-12-05 19:00:00
420,953739357,MAD,2024-10-23 19:00:00
421,227919275,FRA,2024-11-14 12:00:00
422,504088307,FRA,2024-11-07 12:00:00
423,135282942,FRA,2024-12-11 12:00:00
424,936855553,FRA,2024-11-25 12:00:00
425,276248538,FRA,2024-11-01 12:00:00
426,435501022,FRA,2024-11-14 12:00:00
427,217448021,FRA,2024-10-22 12:00:00
428,808753985,FRA,2024-10-24 12:00:00
429,714406057,FRA,2024-11-03 12:00:00
430,267837613,FRA,2024-10-30 12:00:00
431,382813918,FRA,2024-10-31 12:00:00
432,505657194,FRA,2024-10-16 12:00:00
433,922991714,FRA,2024-11-27 12:00:00
434,130222592,FRA,2024-10-19 12:00:00
435,998651200,FRA,2024-11-17 12:00:00
436,896777778,FRA,2024-10-20 12:00:00
437,771252921,FRA,2024-11-20 12:00:00
438,559720620,FRA,2024-11-19 12:00:00
439,542306042,FRA,2024-11-19 12:00:00
440,362238769,FRA,2024-12-02 12:00:00
441,435114318,FRA,2024-10-19 12:00:00
442,838724998,FRA,2024-12-25 12:00:00
443,222912620,FRA,2024-11-20 12:00:00
444,678120648,FRA,2024-11-22 12:00:00
445,806272779,FRA,2024-11-09 12:00:00
446,552230665,FRA,2024-11-29 12:00:00
447,604336426,FRA,2024-10-19 12:00:00
448,439854673,FRA,2024-11-15 12:00:00
449,446197308,FRA,2024-10-21 12:00:00
450,624371079,FRA,2024-12-21 12:00:00
451,214690674,FRA,2024-12-12 16:00:00
452,394792954,FRA,2024-11-08 16:00:00
453,732950344,FRA,2024-12-27 16:00:00
454,502336411,FRA,2024-10-06 16:00:00
455,439828493,FRA,2024-10-26 16:00:00
456,833084825,FRA,2024-12-03 16:00:00
457,942106991,FRA,2024-12-16 16:00:00
458,868446134,FRA,2024-11-17 16:00:00
459,122628256,FRA,2024-10-13 16:00:00
460,750488622,FRA,2024-12-30 16:00:00
461,811056998,FRA,2024-12-28 16:00:00
462,946970463,FRA,2024-10-10 16:00:00
463,693487068,FRA,2024-11-15 16:00:00
464,852281566,FRA,2024-11-18 16:00:00
465,835779800,FRA,2024-12-19 16:00:00
466,353813127,FRA,2024-11-08 16:00:00
467,521954302,FRA,2024-12-02 16:00:00
468,983375690,FRA,2024-12-04 16:00:00
469,272042677,FRA,2024-11-08 16:00:00
470,972144388,FRA,2024-10-13 16:00:00
471,136380179,FRA,2024-11-29 16:00:00
472,983901883,FRA,2024-11-02 16:00:00
473,543413836,FRA,2024-11-22 16:00:00
474,980727404,FRA,2024-12-22 16:00:00
475,849989538,FRA,2024-12-01 16:00:00
476,477802873,FRA,2024-11-11 16:00:00
477,973411714,FRA,2024-10-25 16:00:00
478,586686097,FRA,2024-10-07 16:00:00
479,155940680,FRA,2024-10-13 16:00:00
480,776625216,FRA,2024-11-08 16:00:00
481,448875327,OPO,2024-10-23 15:00:00
482,152272164,OPO,2024-10-13 15:00:00
483,957003791,OPO,2024-12-27 15:00:00
484,687504515,OPO,2024-10-18 15:00:00
485,528271054,OPO,2024-12-02 15:00:00
486,927723397,OPO,2024-11-13 15:00:00
487,323577467,OPO,2024-12-14 15:00:00
488,532069666,OPO,2024-11-28 15:00:00
489,802296197,OPO,2024-12-15 15:00:00
490,627040908,OPO,2024-11-09 15:00:00
491,432968743,OPO,2024-10-08 15:00:00
492,485520835,OPO,2024-10-10 15:00:00
493,494553760,OPO,2024-10-30 15:00:00
494,578290147,OPO,2024-11-15 15:00:00
495,704577929,OPO,2024-10-19 15:00:00
496,912275640,OPO,2024-11-10 15:00:00
497,759135517,OPO,2024-12-11 15:00:00
498,557432377,OPO,2024-12-23 15:00:00
499,466945733,OPO,2024-11-05 15:00:00
500,795366600,OPO,2024-10-08 15:00:00
501,631848216,OPO,2024-10-28 15:00:00
502,663368481,OPO,2024-12-24 15:00:00
503,569606919,OPO,2024-12-24 15:00:00
504,612831297,OPO,2024-11-26 15:00:00
505,237213199,OPO,2024-10-08 15:00:00
506,366989670,OPO,2024-10-29 15:00:00
507,710460550,OPO,2024-12-28 15:00:00
508,148420285,OPO,2024-10-30 15:00:00
509,556247420,OPO,2024-11-12 15:00:00
510,809587923,OPO,2024-10-23 15:00:00
511,876309973,LHR,2024-11-15 14:00:00
512,994513638,LHR,2024-10-09 14:00:00
513,486821471,LHR,2024-11-04 14:00:00
514,273973824,LHR,2024-10-16 14:00:00
515,841630844,LHR,2024-12-23 14:00:00
516,238616374,LHR,2024-12-12 14:00:00
517,750418046,LHR,2024-11-02 14:00:00
518,546659806,LHR,2024-11-01 14:00:00
519,324876907,LHR,2024-10-24 14:00:00
520,119467577,LHR,2024-11-19 14:00:00
521,483372937,LHR,2024-10-09 14:00:00
522,989003129,LHR,2024-10-31 14:00:00
523,168360404,LHR,2024-11-21 14:00:00
524,763103142,LHR,2024-12-05 14:00:00
525,340620860,LHR,2024-11-02 14:00:00
526,465420342,LHR,2024-11-19 14:00:00
527,926883089,LHR,2024-10-24 14:00:00
528,262326542,LHR,2024-10-07 14:00:00
529,748850893,LHR,2024-10-10 14:00:00
530,154140252,LHR,2024-11-08 14:00:00
531,911495781,LHR,2024-12-20 14:00:00
532,939292867,LHR,2024-10-17 14:00:00
533,209379970,LHR,2024-10-24 14:00:00
534,213184291,LHR,2024-12-13 14:00:00
535,320531781,LHR,2024-11-18 14:00:00
536,413664671,LHR,2024-11-08 14:00:00
537,635143260,LHR,2024-12-22 14:00:00
538,490559533,LHR,2024-11-22 14:00:00
539,232052491,LHR,2024-12-09 14:00:00
540,546407987,LHR,2025-01-03 14:00:00
541,330622993,FCO,2024-11-07 08:00:00
542,826732562,FCO,2024-10-28 08:00:00
543,700187804,FCO,2024-10-29 08:00:00
544,383138961,FCO,2024-10-21 08:00:00
545,554646119,FCO,2024-11-08 08:00:00
546,625640719,FCO,2024-11-11 08:00:00
547,254990533,FCO,2024-10-31 08:00:00
548,863592104,FCO,2024-11-06 08:00:00
549,856477620,FCO,2024-10-30 08:00:00
550,226763976,FCO,2024-10-07 08:00:00
551,608261670,FCO,2024-12-30 08:00:00
552,700250339,FCO,2024-11-17 08:00:00
553,227524085,FCO,2024-10-18 08:00:00
554,218472553,FCO,2024-12-19 08:00:00
555,410945513,FCO,2024-12-29 08:00:00
556,226424741,FCO,2024-11-17 08:00:00
557,502073105,FCO,2024-11-26 08:00:00
558,130040913,FCO,2024-12-16 08:00:00
559,733104213,FCO,2024-11-11 08:00:00
560,427667311,FCO,2024-11-28 08:00:00
561,979528847,FCO,2024-11-02 08:00:00
562,687913699,FCO,2024-11-20 08:00:00
563,147977445,FCO,2024-11-11 08:00:00
564,432539857,FCO,2024-10-23 08:00:00
565,462734944,FCO,2024-11-16 08:00:00
566,873130074,FCO,2024-10-18 08:00:00
567,248737171,FCO,2024-10-31 08:00:00
568,917846365,FCO,2024-11-07 08:00:00
569,259968838,FCO,2024-11-23 08:00:00
570,770842137,FCO,2024-10-10 08:00:00
571,117045236,OPO,2024-10-07 10:00:00
572,102198503,OPO,2024-10-18 10:00:00
573,110284954,OPO,2024-10-09 10:00:00
574,696775664,OPO,2024-10-06 10:00:00
575,918690821,OPO,2024-11-14 10:00:00
576,945362558,OPO,2024-10-12 10:00:00
577,678370314,OPO,2024-12-31 10:00:00
578,976234101,OPO,2024-10-10 10:00:00
579,232516483,OPO,2024-11-19 10:00:00
580,504131133,OPO,2024-10-19 10:00:00
581,290252696,OPO,2024-10-06 10:00:00
582,233964179,OPO,2024-11-05 10:00:00
583,307222353,OPO,2024-11-08 10:00:00
584,897945277,OPO,2025-01-01 10:00:00
585,830739665,OPO,2024-11-19 10:00:00
586,976474860,OPO,2024-10-17 10:00:00
587,968028454,OPO,2024-12-06 10:00:00
588,630223017,OPO,2024-11-18 10:00:00
589,629180636,OPO,2024-10-18 10:00:00
590,310546588,OPO,2024-10-14 10:00:00
591,397799667,OPO,2024-10-23 10:00:00
592,283048386,OPO,2024-10-25 10:00:00
593,893296383,OPO,2024-10-23 10:00:00
594,747436843,OPO,2024-10-23 10:00:00
595,731536919,OPO,2024-12-18 10:00:00
596,236827900,OPO,2024-12-01 10:00:00
597,344775738,OPO,2024-10-29 10:00:00
598,394557421,OPO,2024-12-10 10:00:00
599,124822227,OPO,2024-10-07 10:00:00
600,759767702,OPO,2024-12-02 10:00:00
601,506865213,OPO,2024-10-13 19:00:00
602,219152069,OPO,2024-11-22 19:00:00
603,427568970,OPO,2024-11-07 19:00:00
604,969180872,OPO,2024-11-18 19:00:00
605,665783275,OPO,2024-10-17 19:00:00
606,863368317,OPO,2024-12-27 19:00:00
